text,author,title
μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος,Homer,Iliad
"οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε,",Homer,Iliad
πολλὰς δʼ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν,Homer,Iliad
"ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν",Homer,Iliad
"οἰωνοῖσί τε πᾶσι, Διὸς δʼ ἐτελείετο βουλή,",Homer,Iliad
ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε,Homer,Iliad
Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.,Homer,Iliad
τίς τʼ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;,Homer,Iliad
Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς,Homer,Iliad
"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,",Homer,Iliad
οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα,Homer,Iliad
Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν,Homer,Iliad
"λυσόμενός τε θύγατρα φέρων τʼ ἀπερείσιʼ ἄποινα,",Homer,Iliad
στέμματʼ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος,Homer,Iliad
"χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς,",Homer,Iliad
"Ἀτρεΐδα δὲ μάλιστα δύω, κοσμήτορε λαῶν·",Homer,Iliad
"Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,",Homer,Iliad
ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματʼ ἔχοντες,Homer,Iliad
"ἐκπέρσαι Πριάμοιο πόλιν, εὖ δʼ οἴκαδʼ ἱκέσθαι·",Homer,Iliad
"παῖδα δʼ ἐμοὶ λύσαιτε φίλην, τὰ δʼ ἄποινα δέχεσθαι,",Homer,Iliad
ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.,Homer,Iliad
ἔνθʼ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ,Homer,Iliad
αἰδεῖσθαί θʼ ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα·,Homer,Iliad
"ἀλλʼ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,",Homer,Iliad
"ἀλλὰ κακῶς ἀφίει, κρατερὸν δʼ ἐπὶ μῦθον ἔτελλε·",Homer,Iliad
μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω,Homer,Iliad
"ἢ νῦν δηθύνοντʼ ἢ ὕστερον αὖτις ἰόντα,",Homer,Iliad
μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο·,Homer,Iliad
τὴν δʼ ἐγὼ οὐ λύσω· πρίν μιν καὶ γῆρας ἔπεισιν,Homer,Iliad
ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης,Homer,Iliad
ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν·,Homer,Iliad
